Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	122.6166	-379.4296	502.0462	0.1175103	0.1944738
6	120.0758	-381.9974	502.0732	0.1937787	0.2328284
12	118.1465	-384.1095	502.256	0.1221717	0.294154
18	119.1978	-382.4687	501.6665	0.5191612	0.2016784
24	116.131	-385.2249	501.356	0.8187187	0.1980187
30	116.0306	-385.9487	501.9792	0.3989705	0.2941842
36	125.2797	-376.3378	501.6175	0.4993447	0.1804331
42	130.9911	-370.8558	501.8469	0.265131	0.1790879
48	126.1218	-375.7021	501.824	0.1806674	0.1525271
54	131.1962	-370.1334	501.3296	0.5964175	0.136557
60	123.6957	-376.676	500.3717	1.178004	0.08446119
66	116.874	-383.1754	500.0495	1.178004	0.05804284
72	126.7592	-373.2766	500.0357	1.300818	0.06573687
78	125.7901	-374.908	500.6982	0.8172158	0.08105478
84	124.4305	-377.182	501.6124	0.6869457	0.2477902
90	128.511	-371.6152	500.1262	1.095461	0.05766351
96	122.4465	-378.0232	500.4697	1.095461	0.08604395
102	117.723	-382.7984	500.5213	1.095461	0.09162299
108	122.2357	-378.2369	500.4726	1.095461	0.08635085
114	113.6102	-386.9186	500.5288	1.095461	0.09246064
120	115.146	-384.791	499.937	1.522218	0.07583387
126	111.849	-387.5387	499.3877	1.729504	0.05128619
132	113.5919	-385.9149	499.5068	1.371167	0.03942598
138	115.319	-385.5326	500.8516	0.6761183	0.08225975
144	118.7458	-382.5648	501.3106	0.6761183	0.1486568
150	117.7576	-383.6273	501.385	0.6761183	0.1656821
156	116.5591	-385.6405	502.1997	0.2192301	0.3275594
162	120.3425	-381.4951	501.8376	0.2741705	0.1789932
168	126.5235	-374.9103	501.4338	0.677945	0.1789932
174	121.3835	-380.111	501.4945	0.6172509	0.1789932
180	116.0302	-385.2569	501.2871	0.7803248	0.167278
186	127.4606	-374.5761	502.0367	0.1948954	0.2182789
192	125.9986	-376.1015	502.1001	0.1314369	0.2182789
198	118.4835	-383.6612	502.1447	0.2604157	0.3151142
204	123.3938	-378.0086	501.4024	0.5902712	0.1499306
210	118.6742	-382.5778	501.252	0.6374578	0.1299245
216	113.1355	-388.6274	501.763	0.5729283	0.2671674
222	114.911	-386.1912	501.1022	0.6605377	0.1099832
228	118.8567	-382.2523	501.109	0.9180193	0.1575491
234	122.3352	-379.3983	501.7335	0.4416846	0.1981848
240	119.2606	-382.473	501.7335	0.4416846	0.1981848
246	118.2269	-383.2164	501.4433	0.5586192	0.1519228
252	115.2504	-386.3781	501.6284	0.5847055	0.2113293
258	122.6001	-379.612	502.2121	0.1067327	0.2577495
264	129.4239	-372.7989	502.2228	0.0167753	0.221427
270	124.5548	-377.7624	502.3171	0.004172628	0.2590651
276	117.2359	-385.1197	502.3556	0.01272612	0.2873202
282	121.8268	-380.3958	502.2227	0.09736608	0.2583765
288	115.5431	-385.6946	501.2376	0.8058606	0.1614139
294	111.2104	-390.9757	502.1861	0.1408099	0.2621122
300	115.4851	-386.4873	501.9724	0.4718097	0.3546299
306	116.5387	-385.6478	502.1865	0.308999	0.4734531
312	101.9321	-400.4572	502.3893	0.1076208	0.5022548
318	111.5675	-390.8533	502.4208	0.003734488	0.3330196
324	108.9753	-393.1901	502.1654	0.2591325	0.3330196
330	112.3544	-389.6666	502.021	0.3231534	0.2720009
336	112.7324	-389.0513	501.7837	0.4596829	0.2229312
342	117.8335	-384.6065	502.44	0.01648672	0.3708682
348	104.3387	-397.3118	501.6504	0.4251636	0.169343
354	115.8761	-385.8908	501.7668	0.5051773	0.2350274
